Prognosis,Treatment
Acne,"Mix 2 tablespoons of honey and 1 teaspoon of cinnamon to form a paste. After cleansing, apply the mask to your face and leave it on for 10 to 15 minutes. Rinse the mask off completely and pat your face dry."
Urinary tract infection,"Drink plenty of water and avoid coffee, alcohol, and soft drinks containing citrus juices or caffeine until your infection has cleared. Apply a warm, but not hot, heating pad to your abdomen to minimize bladder pressure or discomfort."
Psoriasis,"A lukewarm bath with Epsom salt, mineral oil, milk, or olive oil can soothe the itching and infiltrate scales and plaques. Oatmeal baths can also be very helpful and soothing for plaque psoriasis. Be sure that the water is not hot. Hot water can cause more irritation. Moisturize immediately after your bath for double benefits."
Hepatitis D,No vaccine can prevent HDV. The best way to avoid it is to cut your risk of getting hepatitis B. Talk to your doctor about getting an HBV vaccine. Avoid contact with blood or other body fluids of someone with hepatitis.
Hepatitis B,"Eat a healthy diet full of fruits and vegetables, exercise regularly, and get enough sleep. Do not drink alcohol or take prescription or over-the-counter drugs without consulting your doctor. Get tested for hepatitis A and C. Get vaccinated for hepatitis A if you haven't been exposed."
Allergy,"Inhale some steam. This simple trick can ease a stuffy nose and help you breathe easier. Hold your head over a warm (but not too hot) bowl or sink full of water, and place a towel over your head to trap the steam."
hepatitis A,"Nausea can make it difficult to eat. Try snacking throughout the day rather than eating full meals. To get enough calories, eat more high-calorie foods. For instance, drink fruit juice or milk rather than water. Drinking plenty of fluids is important to prevent dehydration if vomiting occurs."
GERD,"Lifestyle changes may help reduce the frequency of acid reflux. Try to maintain a healthy weight, stop smoking, elevate the head of your bed, do not lie down after a meal, eat food slowly and chew thoroughly, avoid foods and drinks that trigger reflux and avoid tight-fitting clothing."
Chronic cholestasis,"To soothe intense itching, soak itchy areas in cool or lukewarm water. Oatmeal baths, creams or lotions may soothe the skin and Icing a particularly itchy patch of skin may temporarily reduce the itch."
Drug Reaction,Drink two to three liters of water a day. slowly sipping on up to 2 glasses of coconut water every 4 to 6 hours could ease stomach pain.
Peptic ulcer disease,"Avoid smoking and drinking alcohol. Stress may worsen the signs and symptoms of a peptic ulcer. Consider the sources of your stress and do what you can to address the causes. Some stress is unavoidable, but you can learn to cope with stress with exercise, spending time with friends or writing in a journal."
AIDS,"Make sure you get enough nourishment. Fresh fruits and vegetables, whole grains, and lean protein help keep you strong, give you more energy and support your immune system. Avoid unpasteurized dairy products, raw eggs and raw seafood such as oysters, sushi or sashimi."
Diabetes,"A minimum of 30 minutes of moderate exercise such as brisk walking most days of the week is recommended. Aim for at least 150 minutes of moderate aerobic activity a week.  If you're overweight, losing just 5% of your body weight can make a difference in your blood sugar."
Gastroenteritis,"Stop eating solid foods for a few hours. You might also try drinking clear soda, clear broths or noncaffeinated sports drinks. Drink plenty of liquid every day, taking small, frequent sips."
Bronchial Asthma,"Being overweight can worsen asthma symptoms, and it puts you at higher risk of other health problems. Regular exercise can strengthen your heart and lungs, which helps relieve asthma symptoms. If you exercise in cold temperatures, wear a face mask to warm the air you breathe. "
Hypertension,"Regular physical activity can help lower your blood pressure, manage stress, keep your weight under control and reduce your risk of many health conditions. Eat a heart-healthy diet and maintain a healthy weight. Decrease the salt in your diet."
Migraine,"When symptoms of migraine start, try heading to a quiet, darkened room. Close your eyes and rest or take a nap. Place a cool cloth or ice pack wrapped in a towel or cloth on your forehead and drink lots of water."
Cervical spondylosis,"Applying heat or ice to your neck can ease sore neck muscles. The brace allows your neck muscles to rest. However, a neck brace should be worn for only short periods of time because it can eventually weaken neck muscles. "
Paralysis (brain hemorrhage),"Wearing protection during activities that may risk traumatic brain injury, such as cycling, as well as engaging in a healthful, active, smoke-free lifestyle can reduce the risk of a brain hemorrhage."
Jaundice,Mix together 1 spoon each of roasted barley powder (jau) and honey. Have this with a glass of water twice a day. Extract the juice of bitter gourd. Take ¼ cup of the juice early in the morning daily.
Malaria,Boil cinnamon and pepper powder in water. Add honey to the strained water and drink it 1 to 2 times a day. Have 2 cups of herbal tea or turmeric milk every day.
Chicken pox,"Avoid Scratching and put gloves on your hands especially at night. To soothe Itching bath in cool water added with baking soda, aluminum acetate, a finely ground oatmeal that is made for soaking. Calamine lotion can be dabbed on the spots."
Dengue,"As platelet count comes down in dengue patients, papaya leaf juice is a great remedy to increase platelet count. Take some papaya leaves and crush them to extract juice out of it. You can consume a small quantity of papaya leaf juice twice a day for better results."
Typhoid,"Cloves fight against bacteria that cause typhoid. It also reduces nausea and vomiting caused due to typhoid. Boil water with cloves, strain in a cup and have two cups daily."
Impetigo,You could try treating the sores with an over-the-counter antibiotic cream or ointment. Placing a nonstick bandage over the area can help prevent the sores from spreading. Avoid sharing personal items.
